Timestamp,Name,Comment,Language
12:25 , (Member (1 year)) *$10.00* JP Ng, SOOO CUTE!!! CONGRATS ON THE 3D!!!,en
12:50 , (New member) *NT$75.00* HuyuEk, Congrats on 3D!!! So cuteeee:_EliraHeart::_EliraHeart:,en
13:32 , (Member (1 year)) ModestCharacter, YEAH WOOOOOO BABY THIS IS WHAT IM TALKING ABOUT,en
13:41 ," (Member (6 months)) *HUF 2,000* Himemiya Chikane"," Yes, Ewiwa, youre super, super cute!!:_EliraHeart: Congratulations on getting 3D!!",en
13:43 , *$1.99* NamingSystem, Congrats on the 3D!!,en
14:20 , (Member (2 months)) 澪月miotsuki, 3D Congratulations!!!:_EliraHeart:You are so cute!!!,en
14:45 , *$10.00* Majin D, Ewiwa you're so beautiful~ :smiling_face_with_heart_eyes: ,en
15:08 , *THB 179.00* SeiRen [せいれん], Congratulations! You look so good Ewi-chan :blue_heart:,en
15:24 , (Member (2 months)) Minty Fresh Kyle, THREE DEE WEE WEE:_EliraBlush::_EliraPog::_EliraHeart:,en
16:08 , (Member (1 year)) *$5.00* Ernesto, Congratulations on 3D Ewiwa!!! You look so cute!!!:blue_heart::blue_heart::blue_heart:,en
17:28 , (Member (1 year)) Meru Ragios, :_EliraSheesh1::_EliraSheesh2::_EliraSheesh2::_EliraSheesh1::_EliraLipBite:,en
17:55 , (Member (1 year)) *NT$300.00* 魚魚, Congratulations on 3D Ewiwa:_EliraCry::_EliraCry::_EliraCry: you are soooooooooooo cute:_EliraHeadPat::_EliraHeadPat::_EliraHeadPat: OMG! I'm going to cry!!!!!,en
18:06 ," (Member (6 months)) *NT$1,500.00* 妹妹【マイマイ】Hannah", Congratulations 3D Ewiwi baby:blue_heart::blue_heart::blue_heart::sun_behind_small_cloud: You are super talented and cute giving my best love to you,en
19:06 , (Member (1 year)) *₱125.00* third12[三塁], Congrats on 3D Ewiwaaa :loudly_crying_face::loudly_crying_face::loudly_crying_face: you are so cuuuute SHEEEEEESHHH,en
21:23 , *NT$150.00* silver wei," Congrats on 3D,Elira!!!!! Finally be real and you are sooooo cuteeeee! haha I forgot write message in last sc.",en
22:08 , *$49.99* Rumin『るみん』, :party_popper::party_popper:,en
22:53 ," (Member (1 year)) Techless, VTuber Editor", Weewa has arms to hold the Captain :_EliraBlush:,en
23:00 , (Member (1 year)) S17 B32," :_EliraBOOBA: OMG! 3D Elira is so cute! Thank you everyone in Nijisanji for making this happen! Congrats on entering the world of 3D, Elira Pendora! ",en
23:34 ," *¥8,000* かいわれのかたわれ", :loudly_crying_face::loudly_crying_face::loudly_crying_face:,en
24:26 , (Member (6 months)) ShiroMikan, Congrats on the 3D,en
24:35 , (Member (1 year)) *$5.00* Zalfuse," Cute too cute, we were already blessed so much with the stomping and the barking, what more can possibly happen tonight??!?! :_EliraSweat:",en
25:26 , (Member (2 months)) Akiryu Vel," Congrats on 3D, Ewiwa!:_EliraPenlight::_EliraHeart::_EliraPenlight:",en
25:54 , (Member (1 year)) *CA$2.00* ひとりぼっちのMKTetris, Plastic Love TSKR,en
25:57 , (Member (1 year)) *$2.00* wildnexus, OH MY GOD I'M CRYING AAAAHHHHH SOOO HAPPY,en
26:05 , (Member (6 months)) AroiMak, :_EliraPenlight::_EliraPenlight::_EliraHeart::_EliraPenlight::_EliraPenlight:,en
26:39 , (Member (2 months)) neomii, CONGRATS ON YOUR 3D WIWA :_EliraHeart::_EliraSheesh1::_EliraSheesh2::_EliraSheesh1::_EliraLipBite:,en
26:47 , *CA$10.00* Kai Huang, voice of an angel,en
26:48 , *£2.00* AngelBerry, :blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:,en
26:58 , *¥200* no-nameeeeeow, #Elira3D CONGRATULATIONS!:loudly_crying_face::blue_heart::blue_heart::blue_heart::blue_heart:,en
27:46 , *NT$300.00* タコ飯, Wiwa 3Dおめでとう！！！！🥹🥹🥹:partying_face::partying_face::partying_face::partying_face::party_popper::party_popper::party_popper:,en
27:46 ," *IDR 50,000.00* Raniya Nirmala", CONGRATS ON YOUR 3D EWIWAAAAA. I'M SO HAPPY FOR YOU :loudly_crying_face::sparkling_heart::loudly_crying_face::sparkling_heart:,en
27:48 , (Member (1 year)) David「Titaniampp」, beautiful 3D singing wiwa:_EliraHeart::_EliraHeart::_EliraHeart:,en
28:19 , (Member (1 year)) D3rpyDerpDerp, WOOOO :_EliraPenlight::_EliraBlush::_EliraPenlight:,en
28:38 , (Member (1 year)) Ningitsu, :blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:,en
28:40 , (Member (6 months)) *SGD 10.00* Isabel燴「イサベル」, :_EliraPenlight::_EliraHeart::_EliraPenlight:,en
29:17 , (Member (1 year)) Hykoru, :_EliraPenlight::_EliraHeart::_EliraPenlight:,en
29:19 , (Member (6 months)) cryptidferrets," ewiwa singing in 3D, the best and most historical thing ever:_EliraPenlight::_EliraHeart::_EliraPenlight:",en
30:02 , *$2.00* Michael Fang," LOVE YOUR VOICE SO MUCH! You're awesome, Elira!:blue_heart:",en
30:24 , (New member) *CA$20.00* Nerium, :clapping_hands::clapping_hands:AMAZING:clapping_hands::clapping_hands:,en
30:46 , (Member (6 months)) PonPon KM, so cute:loudly_crying_face::loudly_crying_face::loudly_crying_face:i cry,en
33:21 , (Member (6 months)) *NT$300.00* Mona, congrats on 3D Ewiwa!! :_EliraHeart:so cuuute!:_EliraBlush:I'm gonna cry,en
34:41 , (Member (2 months)) roboの哀れ, ELIRA HIT THAT YOINKY SPLOINKY! PUHLEASE,en
36:16 , (Member (1 year)) *$10.00* Zephyr Kitten," Dab fee, thank you very much Big E ",en
39:28 , *$24.34* LancetheGallade1500," This is pretty much exactly what I expected from EN's first 3D Debut. Congratulations, Miss Pendora!",en
41:19 ," (Member (6 months)) *NT$1,500.00* 肘", 3D congratsss!!! 恭喜3d,en
42:30 ," *¥3,200* 干されたスライム", congrats for your 3D!! ,en
44:46 , (Member (2 months)) *$10.00* Lightsza, Ewiwwa its my birthday this sunnday. could i get a happy birthday?,en
45:17 , (Member (2 months)) awful runner, :fire::fire::fire::_EliraSheesh1::_EliraSheesh2::_EliraSheesh1:,en
46:24 , *₱125.00* Aleph Alon," I'm delighted to see that you finally got your long-awaited and well-earned 3D avatar, Elira!",en
46:37 , (Member (1 year)) Red, Big gratz on the 3d incredible raps from the crew and super sweet stream!,en
46:46 , (Member (6 months)) KazakeCraze, 3 words::_EliraSheesh1::_EliraSheesh2::_EliraSheesh1:In. 3D.,en
48:26 , *NZ$10.00* Chairo, Congrats on 3D Elira! listening to your streams are one of my few sources of happiness that help my cope with my bad relationship with my boss at my dead end job. btw second eye reveal when?,en
48:37 , (Member (1 year)) *$100.00* Kerithan," Congrats on the 3D, Elira! I know I speak for many, many others when I say we adore you and appreciate you for the countless hours of streams you've given us! You deserve this so much, thank you for all that you do, and here's to many other milestones for you to reach!",en
48:50 , (Member (6 months)) Yuki Aly, :_EliraPenlight::_EliraPenlight::_EliraPenlight::_EliraPenlight::_EliraPenlight::_EliraPenlight::_EliraPenlight::_EliraSheesh1::_EliraSheesh2::_EliraSheesh2::_EliraSheesh2::_EliraSheesh1:,en
49:04 , (Member (1 year)) *₱499.00* mojaru yo, congrats on 3d debut! :blue_heart::blue_heart::blue_heart:,en
49:08 , (Member (1 year)) Superflydanfry, Thank you Ewiwa! :_EliraHeart::_EliraHeart::_EliraHeart:,en
49:50 , *A$14.99* Febrina Tjeng, congrats for ur 3D elira!!:blue_heart::blue_heart::blue_heart:,en
49:54 , *MYR 6.00* Kon Koffee, Congrats on the 3D Ewiwaaa!!! sooo cuteee,en
50:05 ," *¥2,434* 五家宝【ごかぼ】", :blue_heart::blue_heart::blue_heart:,en
50:07 , *¥320* なぎさま, Congrats on 3D!おめでとうううう:party_popper:,en
50:14 , (Member (6 months)) Lapis Rose Ch.," The lovely dragon of the skies spreads her beautiful wings, and graces the world with a magnificent song!",en
50:19 , (Member (1 year)) *NT$100.00* ユアン / Yuan, CONGRATULATIONS 3D EWIWA:loudly_crying_face::blue_heart::blue_heart::blue_heart:,en
50:20 , *MYR 30.00* Volgy, Congratulations!,en
50:21 , *$2.00* Nyamo Nyan, :blue_heart::blue_heart::blue_heart:,en
50:26 , *¥320* にくにく8, エリーラ本当に3Dおめでとうー:party_popper::party_popper:,en
50:40 , *SGD 20.00* Malenda, 3Dおめでとう!! You are so cute and amazing!! Love you Elira:blue_heart:,en
50:46 , (Member (1 month)) *¥500* 米沢, Elira~~~~love you~~~！まだ英語下手だけど今年もっと頑張るよ！Today is highest！！,en
50:47 , (Member (1 year)) Signout, Congrats on your 3D!:_EliraHeart:,en
50:54 , (Member (1 year)) Merlin_Kin, ELIRA THE ROCK!!!!! :_EliraPenlight::_EliraHeart::_EliraPenlight:,en
51:05 , *$10.00* TobiBazooka, Congrats on the 3D Ewiwa,en
51:13 , *A$24.34* TheGentleChainsaw, CONGRATS ELIRA! :blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:,en
51:13 , (Member (1 year)) すいちゃんスーパーボインボイン," Congratulations on the 3D Debut, enjoyed seeing you being cute with all of the livers! Looking forward to your Home3D streams! :_EliraELIKZ: :_EliraHeart:",en
51:15 , (Member (1 year)) *₱50.00* third12[三塁], Thank you for making our days brighter :loudly_crying_face::loudly_crying_face::red_heart:,en
51:17 , *¥500* うとうとさんどら, :blue_heart::blue_heart::blue_heart::blue_heart:,en
51:17 , *$10.00* Nice Hat, Congrats on 3D Elira!!! :blue_heart:,en
51:26 , (Member (1 year)) StarCreator, :_EliraPenlight::_EliraCry::_EliraPenlight:,en
51:36 , *$34.00* AKsTF2, Huge congrats on 3D Elira! You absolutely crushed it! Can't wait to see more!! ,en
51:40 , (Member (1 year)) Mad AiZ, Congrats on 3D debut:_EliraHeart::_EliraHeart::_EliraHeart:,en
51:48 , (Member (2 months)) papayoda, :_EliraPenlight::_EliraHeart::_EliraPenlight:,en
51:50 , (Member (1 year)) *A$5.00* ChickenKaichou, :_EliraPenlight::_EliraHeart::_EliraPenlight:,en
51:52 , (Member (1 year)) *₱250.00* Em 【 빨간색이 】, CONGRATS ON 3D ELI! I'M SO PROUD OF HOW FAR YOU'VE GONE. I LOVE YOU :_EliraHeart:,en
52:00 , (Member (1 year)) MEDIEVIL121, Truly inspiring! Thanks for being such a vibe!:_EliraHeart:,en
52:05 , (Member (6 months)) Patrick Connor, That model looks amazing! :_EliraHeart::_EliraHeart::_EliraHeart:,en
52:11 , (Member (2 months)) *$20.00* Nonarinne, ELIRA THE ROCK,en
52:19 , (Member (6 months)) Zenliquid01, :_EliraPenlight::_EliraHeart::_EliraPenlight:,en
52:21 , (Member (6 months)) Shrubye, CONGRATS ON YOUR 3D DEBUT!! :_EliraHeart:,en
52:28 , (Member (1 year)) *A$50.00* CaffeinatedTea, Congrats ewiwa! :_EliraHeart:,en
52:39 , *₱125.00* plums, おめでとう 3dweewaa :blue_heart::blue_heart::blue_heart:,en
52:39 , (New member) *CA$10.00* Nerium, CONGRATS ON THE 3D!!!,en
52:50 ," *¥2,434* ヒビカワ", Congrats on your 3D!,en
52:52 , (Member (1 year)) Cheliax, Congratulations on the 3D Reveal! I'm so happy for you and Lazulight. Thank you for the past year or so!,en
52:56 , *CA$6.99* Lemonade /レモネード, Congrats on 3D!!!! Thankyou for the beautiful singing. :loudly_crying_face::two_hearts: ,en
52:57 , (Member (1 year)) funny boy, so proud of my kamiroshi:_EliraPien:you truly shine like no one else:_EliraHeart:,en
53:16 , (Member (2 months)) huntley, CONGRATS ON YOUR 3D EWIWA!!:_EliraPenlight::_EliraHeart::_EliraPenlight:,en
53:23 ," (Member (2 months)) *¥3,200* mya", Congrats on 3D:loudly_crying_face::blue_heart:,en
53:26 , (Member (1 year)) *$24.34* Jackson, Congrats on 3D!,en
53:45 , (Member (1 year)) *A$500.00* parullels ," congrats on the 3d debut our beloved sky dragon! you deserve all this and more, you're truly special :_EliraHeart: i love you! :blue_heart:",en
53:49 , *£5.00* Loosh," CONGRATULATIONS ELIRA!!!!!! HAPPY 3D, WE'RE ALL SO PROUD OF HOW FAR YOU'VE COME",en
53:51 , (Member (2 months)) Eilumial, CONGRATULATIONS EWIWAAA!!!! :_EliraPenlight::_EliraHeart::_EliraPenlight:,en
53:53 ," *¥1,000* MAO", えりーら3Dおめでとう:loudly_crying_face::blue_heart::blue_heart:,en
53:55 , (Member (1 year)) *₱250.00* clearplasticcups," CONGRATS ON 3D, ELIRA :_EliraHeart: SO PROUD OF YOU!!!",en
54:05 , (Member (1 year)) Quest, Thank you for this:_EliraHeart:,en
54:22 ," *¥2,434* うぉーずまん", Congrats on 3D!,en
54:34 , *$5.00* Majin D, :blue_heart: Queen :blue_heart:,en
54:34 ," *¥2,000* yayaharu", Good 3D streaming,en
54:39 , (Member (1 year)) *HK$50.00* Delta, Congrats on 3D!!! You look so cute and did so well:_EliraHeart::_EliraHeart:,en
54:41 , (Member (6 months)) Roy Konen Ch. 光年ロイ," Congratulations on getting 3D, Elira!!!!",en
54:49 , (Member (1 year)) *CA$2.00* ひとりぼっちのMKTetris, Thank you Ewiwa! This 3D reveal was amazing!,en
54:49 , *CHF 5.00* SyrusDrake," Congratulations on the 3D debut. It was a lot of fun! Thanks for bringing us so much joy, Elira!",en
54:52 , (Member (1 year)) Zalfuse," Loved the 3D Debut. From the blessing of being stepped on, the amazing rap battle, and the wholesome ending jam! Thanks for all your hard work! :red_heart:",en
54:53 , (Member (1 year)) *€5.00* alice, :blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:,en
54:54 , (Member (1 year)) *$50.00* elegytovoid," CONGRATS ON THE 3D DEBUT ELIRA!!!!!!!!! finally getting to see you in 3d was such an emotional experience, i'm so happy for you and the rest of lazulight! :_EliraHeart::_EliraHeart::_EliraHeart:",en
54:58 , *$99.99* oimo buster, Thank you Elira:heart_suit:,en
55:03 , (Member (1 year)) Edea l イデア, CONGRATS ELIRA ON THE 3D :_EliraHeart::_EliraHeart::_EliraHeart: So proud of you!!!,en
55:05 , (Member (1 month)) whyamisushi, <3:_EliraHeart:​:blue_heart:,en
55:06 , *$9.99* chiiffon," happy 3d, elira! thank you for being so lively and wonderful!",en
55:06 , (Member (1 year)) *₱50.00* third12[三塁], awww i love you eliraaa :loudly_crying_face::loudly_crying_face::red_heart:,en
55:09 , (Member (2 months)) *AED 50.00* Aiと, Congrats on the 3D Ewiwaaaa:_EliraHeart:,en
55:10 , (Member (1 year)) Anita Max Wynn, Congratulations on your 3D Ewiwaaaaa:_EliraSheesh1::_EliraSheesh2::_EliraSheesh1:,en
55:12 , (Member (1 year)) Blackrose727, Congrats Elira on the 3D:_EliraHeart::_EliraHeart::_EliraHeart:,en
55:13 , (Member (1 month)) *CA$10.00* Biscu1ts," Here's my gift for your hard work, thank you so much Elira!",en
55:14 , *PEN 6.90* 🍮 flan, Congrats Ewiwaaaaa :clapping_hands::blue_heart::blue_heart:,en
55:15 , *HK$100.00* shin_I," CONGRATS ON 3D, EWIWA!!!SO PROUD OF YOU!!!:blue_heart::blue_heart::blue_heart::blue_heart:",en
55:15 , *SGD 5.00* eveisacomet , :blue_heart::blue_heart::blue_heart:,en
55:20 , (Member (1 year)) *$5.00* JP Ng, Absolutely slayeddddd your 3d debut!!! Congratsssss ,en
55:25 , (Member (1 year)) Elemintabni," YOU DID IT ELIRA YOU WONDERFUL DRAGON! GREAT JOB AND LOVE YOU TO BITS (Platonically, but still)!",en
55:25 , (Member (1 year)) *$5.00* Jesse, Im blown away by how amazing your model and this whole stream was Ewiwa!! You look absolutely beautiful!! Thank you for this amazing night! :_EliraHeart:,en
55:26 , (New member) *$19.99* Loki Hades, Congrats Ewiwa!,en
55:26 , (Member (6 months)) *₱50.00* flakesnpie, :blue_heart::blue_heart::blue_heart:,en
55:27 , (Member (6 months)) *$10.00* KazakeCraze," Best Friday the 13th, ever.",en
55:27 , (Member (6 months)) Solid Takezo, Congratulations on 3D Elira!!! So proud of everything you've done :_EliraHeart:,en
55:28 , *$5.00* Peurin, Congrats on 3D Ewiwa~,en
55:29 , (Member (2 months)) Psycho Pearl, Congrats on the 3D Ewiwa! It was so much fun!! Can't wait to see all of Lazulight and then the rest of NijiEN!:_EliraHeart::_EliraHeart::_EliraHeart:,en
55:32 , (Member (1 year)) *$5.00* Anourack Phongsavath, Congratulations Kami Oshi!! ,en
55:38 , (Member (6 months)) *$100.00* Ninelie," Congratulations on your 3D debut Elira, thank you for being such a beautiful soul. All I can hope for is the continuation of your success and happiness :_EliraHeart: Thank you so much for being here.",en
55:38 , (Member (1 year)) *SGD 24.34* NoyZaz・ノイザス, congrats on the 3D ewiwaaa!!! you did so amazing :loudly_crying_face:,en
55:40 , (Member (1 year)) *$100.00* Johnny Lacone, NO YOU THANK YOU FOR POVIDING GOOD TIMES AND FEELS FOR THE PAST YEAR AND A HALF THANK YOU SO MUCH WEEEEEEEHHH,en
55:40 , (Member (2 months)) *$5.00* HAVOC, WOOOOOO CONGRATS!!!,en
55:42 , (Member (1 year)) *$10.00* Shinoda, CONGRATULATIONS ON YOUR WONDERFUL 3D!,en
55:42 , (Member (2 months)) Nanjiro Nanaya, :_EliraCry: that was beautiful!!!:_EliraHeart:,en
55:45 ," (New member) *₩7,500* hibin", Ewiwa 3D congratulation:double_exclamation_mark::blue_heart::blue_heart::double_exclamation_mark:,en
55:50 , *$10.00* Frontline Chief, Congratz Elira!!! you deserve it and so much more. I can't wait to see what you have in store for us!,en
55:50 , (Member (1 year)) *$2.00* τεαcυρ ηγαη ηγαη, it was so beautiful ,en
55:51 , (Member (1 month)) *$2.00* J-chan ♡, thank you so much Elira:_EliraHeart::_EliraHeart:,en
55:52 , (Member (1 year)) *$5.00* Sidewayz2013, We love you too silly dragon Eliraaaa~ :_EliraHeart::_EliraHeart::_EliraHeart:,en
55:53 , *CA$13.99* adobo luvr, watching this at work trying not to cry :loudly_crying_face::blue_heart: so so so so proud of you ewiwi!!! :blue_heart::blue_heart::blue_heart:,en
-1:41 , (Member (2 months)) Vanessa Ko, eyyyyyyy:_ShuLove::_ShuLove::_ShuLove:,en
-0:42 , (Member (2 months)) Kim C, eyyyy:_ShuLove:hope you have a nice day today Shu c:,en
1:10 , (Member (2 months)) Rong Lee, Eyyyyy:_ShuLove::_ShuLove::_ShuLove:,en
