-0:10 | Nana☆: IKZ
0:29 | Quiquikrrr: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:29 | Cheii: IKZZZZZ
0:29 | agnes lim🦊: :elbowcough::elbowcough::elbowcough:
0:29 | Alice Lin: :virtualhug::virtualhug::virtualhug:
0:29 | りこ: IKZZZ
0:30 | Tora: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:30 | Nazy Mohammady: what are y'all doingggg
0:30 | IceBee🌟: :elbowcough::elbowcough::elbowcough:
0:30 | Avi: ZAALIIII:yougotthis::yougotthis::yougotthis:
0:30 | Nicholas Dropscythe: wooo
0:30 | Alexander .: :elbowcough::elbowcough::elbowcough:
0:30 | Sonnen BaaM: :elbowcough::elbowcough::elbowcough:
0:31 | KiraPowteytow: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:31 | rin 🔗🤲: ikzzzz
0:31 | Laz3.: ＩＫＵＺＯ
0:31 | tomi🧻: IKZZ
0:31 | --Jaycee--: IKZZZZZ
0:31 | barofsoap: IKZ
0:31 | Zora: IKZ
0:31 | art bryan: :baguette_bread::baguette_bread::baguette_bread:
0:31 | spearbgom: IKZZ
0:33 | - Inkeez -: IKZ
0:33 | VezkiD🧻🌨️: yaa the BGM :smiling_face_with_sunglasses::smiling_face_with_sunglasses::smiling_face_with_sunglasses:
0:33 | SPIRIT_Zendru: :elbowcough::elbowcough::elbowcough:
0:33 | Lili: IKZ!!!:elbowcough::elbowcough::elbowcough:
0:34 | Yu ting: woooo
0:34 | yuuka: てん:elbowcough:てん:elbowcough:
0:34 | PinkWillow: :elbowcough::elbowcough::elbowcough:
0:34 | Ruruo: :elbowcough::elbowcough::elbowcough::elbowcough:
0:34 | Nana☆: IKZZZ
0:34 | Glory☆:  let’s gooooo :purple_heart::blue_heart::purple_heart::blue_heart:
0:34 | Alexander .: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:35 | Bullet: :elbowcough::elbowcough::elbowcough:
0:35 | Luna:3: TEN TEN TEN:elbowcough::elbowcough:
0:35 | 饭饭rice: heloo
0:35 | Sinann ☽☾: IKZZZ
0:35 | A: WOOOOOOO
0:35 | ひとみHitomi: :elbowcough::elbowcough:
0:35 | CR: YEAHHHHH
0:35 | Lei: :elbowcough::elbowcough::elbowcough:
0:35 | Marshall: IKZZZZ:elbowcough::elbowcough:
0:35 | Yuyu 🧻: Ikzzz:elbowcough::elbowcough:
0:35 | lovewave: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:36 | Phandemo Lotha: wooooooooo
0:36 | 琰媛丶Yan: :elbowcough::elbowcough::elbowcough:
0:36 | Elisa: :elbowcough::elbowcough::elbowcough:
0:36 | Jelly: IKUZOOO
0:37 | estella L: Bonsoirrr
0:37 | Yannie🖋🦊[ jænni ]: IKZZZZZ 
0:37 | linley: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:37 | Hey! Marine!(Noeru channnel!) : Yes
0:37 | Alexander .: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:37 | 스: IKZZZZZ
0:37 | Oriaj Syno: IKZ
0:38 | Sarsiiz: :elbowcough::elbowcough::elbowcough:
0:38 | Liz was a Kyomie: :elbowcough::washhands::washhands:
0:38 | Bullet: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:38 | HektorsMan: :elbowcough::elbowcough::elbowcough:
0:38 | noodlehead27: IKZ!!!
0:38 | IceBee🌟: ZALIIII:elbowcough::elbowcough::elbowcough:
0:38 | Neko Maru: :elbowcough::elbowcough::elbowcough:
0:39 | ⭐Fabi_oWo⭐: :elbowcough::elbowcough::elbowcough::elbowcough:
0:39 | Gabbs: ZIIII
0:39 | Nicholas Dropscythe: :hand-orange-covering-eyes::elbowcough::elbowcough:
0:39 | solarion: Ikzzzzzz
0:39 | Sanya Sheik Hassen: :yougotthis::yougotthis::yougotthis::yougotthis:
0:39 | Harper_ruby: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:39 | Vee: :elbowcough::elbowcough::elbowcough::goodvibes:
0:39 | SPIRIT_Zendru: :elbowcough::elbowcough::elbowcough:
0:39 | Hirari🦋: ikzzzz
0:40 | mrshhmllow[pie]: IKZZZZZZZZZ
0:40 | just kat: Ganba Zali~
0:40 | 🍇葡萄子: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:40 | kathy: BGM IS A BANGER :elbowcough::elbowcough::elbowcough:
0:40 | imfaaaaaayns👟: IKZZZZZZZ
0:40 | A: :elbowcough::elbowcough::elbowcough:
0:40 | Avril Hsu: :elbowcough::elbowcough::elbowcough:
0:40 | soo: TEN TEN:elbowcough:
0:40 | いおり: :elbowcough::elbowcough::elbowcough::elbowcough:
0:41 | yooQui: :elbowcough::elbowcough::elbowcough:
0:41 | Benilde: :elbowcough::elbowcough::elbowcough::elbowcough:
0:42 | Koo Koo: :elbowcough::elbowcough::elbowcough:
0:42 | clearbubble: :elbowcough::elbowcough::elbowcough::elbowcough:
0:42 | VezkiD🧻🌨️: :elbowcough::elbowcough::elbowcough:
0:42 | Minoli: :elbowcough::elbowcough::elbowcough:
0:42 | shuixuan水宣: :elbowcough::elbowcough::elbowcough::elbowcough:
0:42 | Bullet: IKZZZZZZZZZZZ
0:42 | あまみ /Amami: QUASOoo:elbowcough:
0:42 | ReiWasToasted♦️🧻: IKZZZZZ KARAOKEEEEEEEEEEEEEEEEEEEEE
0:42 | Himari🌸💗: :blue_heart::purple_heart::blue_heart::purple_heart::blue_heart::purple_heart::purple_heart:
0:43 | Salu: IKZZZ
0:43 | SPIRIT_Zendru: :elbowcough::elbowcough::elbowcough:
0:43 | Dinaa: ikzzzz
0:43 | 🦋 l e x i 🦋: IKZ
0:43 | Yuuki: IKZZZZZZ
0:43 | Harumi🌸💛: :elbowcough::elbowcough::elbowcough:
0:43 | Galaxydoesartz: HEYYYY
0:43 | reiraレイラ: :elbowcough:
0:44 | ノエル noelle: :face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:
0:44 | Skw972: TEN TEN!
0:44 | Alekksu: LETS GOOOOO
0:44 | Misuky Ink: Helloo 
0:44 | frizzypop: :elbowcough::elbowcough::elbowcough:
0:44 | Kei: ikzzz
0:44 | Upei-うぺぃ-: :elbowcough::elbowcough::elbowcough:
0:44 | 策: :red_heart::red_heart::red_heart:
0:44 | maxfischerlover: helloooo
0:45 | ☆ Neku ☆: ZALIIIIII
0:45 | Ayuki Holmes: :elbowcough::elbowcough::elbowcough:
0:45 | HellScoutAidan: IKZZZ
0:45 | ★ lily: :elbowcough::elbowcough::elbowcough:
0:45 | art bryan: :elbowcough::elbowcough::elbowcough:
0:45 | Stormy: Wooooo!!
0:45 | 留衣(Rui): let's goooo
0:45 | shrimp ☆: :elbowcough::elbowcough::elbowcough:
0:45 | おと.*: IKZZZ
0:45 | blue ブルー: IKZZZZZZ
0:45 | 菱Ling: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:45 | Acil Eysil: woooo
0:45 | Mirko D: :baguette_bread::baguette_bread::baguette_bread:
0:45 | forg: :elbowcough::elbowcough::elbowcough:
0:45 | Alice: :elbowcough::elbowcough::elbowcough:
0:45 | lovewave: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:46 | Librum Omni: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:46 | Chia: :elbowcough::elbowcough:
0:46 | VezkiD🧻🌨️: :elbowcough::elbowcough::elbowcough::elbowcough:
0:46 | HyperKR: Hi everyone
0:46 | reiraレイラ: IKZZZ
0:46 | Laz3.: ＩＫＵＺＯ
0:46 | 잔디 zandi: IKZZZZzZZZzzzZ
0:46 | Unkodesu: :elbowcough::elbowcough::elbowcough:
0:47 | Xinya Kaneshiro: hi
0:47 | elle: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:47 | Zoë van der Hor: Ikzzz
0:47 | aki: IKZZZZZ:elbowcough::elbowcough::elbowcough:
0:47 | linley: :buffering::buffering::buffering::buffering:
0:47 | ycfths【⚡️】: IKZZZZZZ
0:47 | loadyn: :elbowcough:
0:48 | Haku Astra ★: IKZZZ
0:48 | Luca’s Big Booba / Haruki: IKZZZ I STAYED UP ALL NIGHT 4 THIS
0:48 | yooQui: IKZZZZZ
0:48 | Himiko Toga: IKZZZZZZ
0:48 | 千鹿👹Ruby: IKZZZ:elbowcough::elbowcough::elbowcough:
0:48 | GI-NA🧻: IKZZZZ
0:48 | cucu: hellooo
0:48 | mrshhmllow[pie]: :elbowcough::elbowcough::elbowcough::elbowcough:
0:48 | lovewave: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:48 | Ray: I WILL NEVER GET TIRED OF THE BGM
0:48 | ふみ: :virtualhug::virtualhug::virtualhug:
0:48 | epikaraara: :elbowcough::elbowcough::elbowcough:
0:49 | Mia🐏: :baguette_bread::baguette_bread::baguette_bread:
0:49 | Mono: IKZZ
0:49 | yourens: :elbowcough::elbowcough::elbowcough:
0:49 | NUI: Let’s gooo 
0:49 | pine🌻: :elbowcough::elbowcough::elbowcough:
0:49 | つぐた: :elbowcough::elbowcough::elbowcough:
0:49 | CR: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:49 | Yu ting: :elbowcough::elbowcough::elbowcough:
0:49 | hwell: ikzz
0:49 | オハナ[Ohana]: ikzzzz
0:49 | Lovely Neko: TEN TEN
0:49 | Lillian🖋️: IKZZ
0:49 | sandi ★: HIHIIIII IKZZZ ZALI :elbowcough::elbowcough:
0:50 | Skw972: TEN TEN!
0:50 | Skarut: :microphone::microphone::microphone::microphone::microphone::microphone::microphone::microphone::studio_microphone:
0:50 | Tangk: :elbowcough::elbowcough::elbowcough:
0:50 | Mychu: :elbowcough::elbowcough::elbowcough:
0:51 | Egg🥢: Hello
0:51 | Gl1tch: YEAASSHHHHHH
0:51 | Sinann ☽☾: :elbowcough::elbowcough::elbowcough:
0:51 | lovewave: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:51 | Skw972: TEN TEN!
0:51 | Misuky Ink: :elbowcough::elbowcough:
0:51 | vivian / kris!: IKZZZZ
0:51 | もえそちゃん(moeso-chan): zaliiiii
0:52 | shaeplays videogames: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:52 | Librum Omni: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:52 | Sanya Sheik Hassen: Ça commence!!! :yougotthis::yougotthis::yougotthis:
0:52 | Holly: :elbowcough::elbowcough::elbowcough:
0:52 | 瑤熙 李: :elbowcough::elbowcough::elbowcough:
0:52 | Danger: :elbowcough::elbowcough::elbowcough:
0:52 | coco🖤: :elbowcough::elbowcough::elbowcough:
0:53 | Hey! Marine!(Noeru channnel!) : ten ten
0:53 | Darlene: :elbowcough::elbowcough::elbowcough:
0:53 | Skw972: TEN TEN!
0:53 | Zel Akushiro: HI EVERYONE!:elbowcough::elbowcough::elbowcough:
0:53 | Eucaly: IKZZZ
0:53 | Alice朱色: :elbowcough::elbowcough::elbowcough:
0:53 | 《°•Mystic Zen•°》: Ten Ten
0:53 | geraldlim: let's go
0:53 | Rin kazama: :elbowcough::elbowcough::elbowcough:
0:53 | J D: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:53 | Yuino Rui: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:53 | acxir: Let’s gooo
0:53 | Kalin: HALLOOOOOOOOOOOOO
0:53 | みたらしmitarasi: woooo
0:53 | lovewave: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:53 | 👹NOKO HANNYA👹: IKZ:elbowcough::elbowcough:
0:54 | PogAltro: :elbowcough::elbowcough::elbowcough:
0:54 | frizzypop: IKZZZZ
0:54 | Takopus: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:54 | RamReeseKielÉtoilePierreKit: HI ZALI. IKZ!!!
0:54 | kyuaaa: TEN TEN!!:elbowcough::elbowcough:
0:54 | Skw972: TEN TEN!
0:54 | inekiいねき: :elbowcough::elbowcough::elbowcough:
0:54 | きちこ: WOOOOOO
0:54 | おりん🍩🥛: :elbowcough::elbowcough::elbowcough:
0:54 | Aki 🎀: TEN TEN:elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:54 | Xin: :elbowcough::elbowcough::elbowcough::elbowcough:
0:55 | 策: :elbowcough::elbowcough::elbowcough::elbowcough:
0:55 | Gabbs: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:55 | くーまー[ku-ma-]: :elbowcough::elbowcough:てん！てん！
0:55 | Kankaru Inku: :elbowcough::elbowcough::elbowcough:
0:55 | yoisvrs: LET'S GO ZALIII KARAOKEE
0:55 | Skw972: TEN TEN!
0:55 | Luna:3: TEN TEN TEN :elbowcough::elbowcough::elbowcough:
0:56 | //Love🦋AKI: IKZZZ
0:56 | Howdoichoosemyname?: :elbowcough::elbowcough::elbowcough::elbowcough:
0:56 | Upei-うぺぃ-: :elbowcough::elbowcough::elbowcough:
0:56 | helia 🌻: :elbowcough::elbowcough::elbowcough:
0:56 | シズ☆Jean: ikzzzzz
0:56 | Liam_K9🧻: IKZ
0:56 | lovewave: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:56 | nomi: Ikzz
0:57 | sara: :elbowcough::elbowcough::elbowcough::elbowcough:
0:57 | IceBee🌟: :elbowcough::elbowcough:
0:57 | Emil is a [redacted]-orphan🐘: IKZZZ
0:57 | 夏玨: :elbowcough::elbowcough:
0:57 | mintmiilk: IKZZ
0:57 | Skw972: TEN TEN!
0:57 | Hey! Marine!(Noeru channnel!) : yahoooo
0:57 | 琰媛丶Yan: :elbowcough::elbowcough::elbowcough:
0:57 | 𝐘𝐚𝐧𝐞𝐥𝐥🎀: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:57 | SPIRIT_Zendru: How is everyone doing?
0:57 | Ms. Erie : :elbowcough::elbowcough::elbowcough::elbowcough:
0:58 | Halcyon ʕ•̀ o • ʔ: :elbowcough::elbowcough::elbowcough:
0:58 | EraeLiu: HELLOOOOOOOOOOOO
0:58 | Elnath the Drawer: TEN TEN :elbowcough::elbowcough:
0:58 | huuuma😈: :blue_heart::purple_heart::blue_heart::purple_heart:
0:58 | ibr_ljz井原: :elbowcough::elbowcough::elbowcough:
0:58 | Himari🌸💗: :two_hearts::two_hearts::two_hearts::two_hearts:
0:58 | Glory☆: istg every time i always forget how much of a banger the bgm is
0:58 | 策: :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:
0:58 | Katherine: ikzzzz
