-0:32 | こなぐすり: やしきずの悲鳴が聴こえる……(幻聴)
0:19 | (Member (2 months)) チャリ: 鍋で肉を回す料理ができそう
0:21 | godflower: きちゃ
0:21 | Inachsio: やしろ今までありがとう
0:22 | 源光政: きちゃ
0:22 | わっしー: きちまったな…時間だ
0:22 | サヤ: きちゃ
0:23 | こらふ: きちゃ
0:23 | あおむし:: きちゃだ
0:24 | なる猫: カレーじゃなくてよかった
0:25 | タコンペン: きちゃ!
0:26 | (Member (6 months)) Sura: :_heart::_heart::_heart:
0:26 | 普通のむぎちゃん: 鍋……
0:27 | 小林壯太朗: 起きれてエラい
0:27 | W Atsushi: ホイコーローなのに鍋のサムネ…？
0:27 | nickel: うわあ始まった
0:27 | ラロク: きちゃ！
0:28 | 長月美香: デュエル開始ィィイ！！！！ 
0:28 | 紫兎: やしきずしなないで
0:28 | 夕方: やしきずの血圧測りながら見たい
0:28 | 37.0℃: きちゃー
0:28 | トキワ: きちゃ
0:28 | (New member) 竈門しまじろう: きちゃ
0:28 | プリン: こんばんは〜！
0:28 | Quartett 25: なんでサムネの背景がちゃんこ鍋なんですかねえ…
0:30 | イズミ: 回鍋肉の適切な素材がなかったのか鍋と勘違いしてるのかどっちだ
0:30 | ぱらいそ: 来てしまった
0:31 | いけだなか: きてしまった・・・・
0:31 | 黒蝶志穏【こくちょうしおん】: きちゃ
0:31 | (Member (6 months)) Taitejhin: :_sforsus::_tforkotoka::_aforkotoka::_rforidklol::_tforkotoka::_oforkotoka::_cheftoka:
0:31 | あめのあめ: きちゃ
0:31 | ももももも: 思ってる回鍋肉ではないかもしれない…
0:32 | (Member (2 months)) Rye Souji: :_cheer::_cheer::_cheer:
0:34 | こんぱる: きちゃ
0:34 | アリス☆: きちゃ！
0:34 | あかね: きちゃー
0:34 | (Member (2 months)) スリムシェイプ。。: :_bigeye:
0:34 | 伯: そうだよ！背景回鍋肉関係ないじゃん！
0:34 | 藤井まほ: きちまった
0:35 | クマ太郎: 教育の時間だ
0:36 | オオサンショウウオ: 始まってしまった
0:36 | いか天: きてしまった
0:36 | (Member (6 months)) リウ: :_sforsus::_tforkotoka::_aforkotoka::_rforidklol::_tforkotoka:
0:38 | ﾋﾅ: きちゃ〜
0:38 | 現: 楽しみでしかない
0:38 | SA RA: こんばんは
0:38 | 雪丸: やしろがんばれ
0:41 | イズミ: きちゃ！
0:42 | 黒兎紫音: デュエル、スタンバイ！
0:42 | ゆきゆき: 南無三
0:42 | Werner.: きちゃー
0:42 | Lightning o‐zyan: タい！！！
0:43 | 夜鷹: きちゃったか…
0:43 | ティア: きちゃ
0:44 | (New member) Ramegon01: :_patpat::_patpat::_patpat:
0:44 | ヤマナカ: 難しい料理ではないから大丈夫
0:44 | 麦チョコ: 教育の時間だ
0:44 | ウルといっしょ: よすぎる
0:45 | LANC / ランク: スタート
0:45 | あかね: 来てしもたな、、、
0:46 | み: きちゃ！
0:46 | ぷりん: きちゃ
0:46 | なる猫: 始まっちゃった・・・
0:46 | みちる: きちゃ…た
0:47 | ソーマ: この配信に幸あれ
0:47 | Pen銀: きちゃ〜！
0:47 | よわぴー: きちゃ！
0:47 | ぺぺ丸ハゲ: こんばんは〜
0:48 | きのみ: 怖えよ既に
0:48 | わべ: STARTO
0:48 | しげわら: 回鍋肉…？
0:48 | コクマルガラス: きちゃ
0:48 | キウイ: こんばんは〜
0:48 | ハチ公閣下: 大丈夫、腹はくくった
0:49 | Satsuki: 教育の時間だ
0:50 | おりじんみ: きちゃ
0:50 | グリム: きちゃ
0:50 | (New member) 竈門しまじろう: :_oforkotoka::_tforkotoka::_aforkotoka::_sforsus::_uforsus::_kforkotoka:
0:51 | Lightning o‐zyan: さぁ逝くぞ
0:52 | (Member (6 months)) Karasus: :_sforsus::_tforkotoka::_aforkotoka::_rforidklol::_tforkotoka::_oforkotoka::_cheftoka:
0:53 | yanmar: ready
0:54 | ﾋﾅ: 教育だ
0:54 | はつね: コトカがんばれ！
0:54 | すずな: こんばんは
0:54 | おはぎ: クッキング開始ー！
0:55 | Mimimixtsuki: Helllooo
0:55 | ミル: デュエル開始の宣言をしろ、磯野！！
0:55 | godflower: 来てしまった
0:56 | オオサンショウウオ: 多分食材の時点で負けてる
0:56 | (Member (6 months)) ysk: :_cheer::_cheer::_cheer:
0:56 | 0licht(リヒト): ついに来たか…
0:57 | なすな: きちゃぁ……？
0:57 | てるる: 地獄の始まりだ
0:58 | サヤ: こわい
0:58 | のあ: すごくたのしみ〜〜〜
0:59 | かまくま: 地獄の始まり
0:59 | アーク: すでに怖い
1:00 | 狸まるっと: こんばんは～
1:00 | 藤井まほ: 生きて帰ってきてくれ
1:02 | kero: さあ…何が出るか…
1:04 | いなり: きちゃ
1:04 | 時蕎麦: あらかわいい
1:05 | 37.0℃: がんばれー！！！
1:07 | 錫翔-スズカケ-: 絶望へのカウントダウン
1:07 | ハマチ: ドキドキしてきた
1:07 | ももももも: ついにきた…
1:07 | (New member) あのだ: :_cheer::_cheer::_cheer:
1:08 | Black Ball: ﾍｲﾜﾀﾞﾅｰ
1:08 | energy _s: 社「寝てんじゃねえーー！！」
1:08 | (Member (2 months)) Kaya: ルンバon IH on 鍋なら実質回る鍋の完成だな
1:08 | (Member (6 months)) Jin The Great: :_sforsus::_tforkotoka::_aforkotoka::_rforidklol::_tforkotoka::_oforkotoka::_cheer:
1:09 | わっしー: ＃やしきず生きろ
1:10 | shin: サムネの背景が既に回鍋肉じゃないんだが
1:11 | ニュイーンセイロン: 鍋美味しいよね
1:12 | たべのこし: 楽しみ
1:12 | neutralisation: !
1:13 | オレオ: ｲｸｿﾞｰ!
1:13 | maho m: やしきずの胃が心配だ
1:13 | iso KATSU: (っ'ヮ'c)
1:14 | ゆるぞう: 平和なOPだなぁ
1:14 | やまてん: 社は厳しいぞぉ
1:15 | (Member (6 months)) Mick McBaldy: WELCOME TO ANOTHER EPISODE OF CURSED FOOD SERIES
1:15 | 手島つかさ: さあ実験を始めようか
1:17 | Lightning o‐zyan: 社、キレる！！
1:17 | はすの: いい寝顔だw
1:18 | ねここねこ: 可愛い寝顔なのになぁ。
1:18 | カナリコ: デュエルスタンバイ
1:19 | (Member (2 months)) iZea: :_sforsus::_tforkotoka::_aforkotoka::_rforidklol::_tforkotoka::_oforkotoka:
1:20 | せか: GOD先輩
1:20 | (Member (6 months)) celine lin: :_sforsus::_tforkotoka::_aforkotoka::_rforidklol::_tforkotoka::_oforkotoka:
1:21 | Riz: やしきず・・・怒る時はしっかり怒ろう・・・
1:21 | godflower: ただの回鍋肉じゃねぇぞ・・・
1:21 | 花村リボン: こんばんは〜
1:23 | あふなめ: やしろ、お前のことは忘れないぞ
1:23 | おこめすこ: サムネの時点でやしきずの胃痛がマッハ
1:25 | 明太子: 寝てるの笑う
1:26 | 96nev27: 生きろやしきず、怒らないでやしきず
1:27 | 雨粒: good Luck KOTOKA！
1:28 | 長屋: やしろ…
1:28 | (Member (6 months)) Jin The Great: lmaooo
1:28 | 源光政: #社生きろ
1:31 | はまなす: こんばんは～
1:31 | WSDR-1: やしろきずつく
1:34 | Aki: 回鍋肉は鍋ではなくないか？？？？？？
1:34 | 腐れ外道眠り猫: 回鍋肉は鍋じゃなぁーい
1:34 | いくら一粒: やしきずなら回鍋肉の詳細設計書かいてるよ
1:35 | (Member (2 months)) ゆたまご: ぎゃこつ:_heart:
1:36 | おりじんみ: 鍋回さなかったら社の勝ちでいいよ
1:37 | (New member) さやや: :_sforsus::_tforkotoka::_aforkotoka::_rforidklol::_tforkotoka::_oforkotoka:
1:38 | アリアドネの研究室: やしきず×様子がおかしい女は神回になると確定している
1:38 | ジューン: 大丈夫、イカれた女と絡むほど輝く男だ
1:38 | み: 待機画面寝てるの笑っちゃう
1:40 | あこ: 胃痛まったなし
1:40 | 時蕎麦: ドイコロー
1:41 | 藤井まほ: この寝顔からは想像できないだろう。この後あんなことが起きるなんて
1:42 | (Member (2 months)) anskin: :_cheftoka::_cheftoka:
1:43 | solitary0428: ツッコミ連発だろうなあ
1:44 | お湯とお冷: キャベツと豚肉だけは用意しててくれ
1:45 | (New member) ふちありおかめ: まあ肉に火が通ればええやろ・・・
1:45 | 37.0℃: #社生きろ
1:46 | あふなめ: 回鍋肉が何か知ってるのかしらこの子
1:46 | べれしゅ: 胃潰瘍とかにならないことを祈る
1:47 | 甘栗天津【あまぐりてんしん】: まず甜麺醤持ってんのかコトカは…？
1:48 | イヴタク: 始まる前から、草生える
1:49 | Lucinoxe Halliday: good luck kotoka!
1:50 | 楊駟翅: 地獄の始まりだあ
1:51 | さえ(Sae): やしきずの血管が切れるのが先か
1:52 | Brian Hsu: 本当に大丈夫?
1:53 | Lightning o‐zyan: OPすんごい平和
1:55 | つ。: hi Kotochan〜:sparkling_heart:please alive Yashirosan
1:55 | 藤井まほ: #社生きろ
1:56 | 白詰六花: 今回の犠牲者と聞いて
1:56 | yasubei: もう今すでに怒られてる説
1:56 | わっしー: OPが最後の癒し
1:57 | えとけん先生: どんなデッキを組んできたのか…
1:57 | BNJ: なに？回鍋肉なら鍋を回すのではないのか！？
1:57 | (Member (2 months)) チャリ: :_sforsus::_tforkotoka::_aforkotoka::_rforidklol::_tforkotoka::_oforkotoka:
1:59 | (Member (6 months)) リウ: 悪い子じゃないんです！怒らないでください！
1:59 | (Member (6 months)) Jin The Great: Yashiro-san, good luck!:_cheer:
2:00 | 手島つかさ: やしろの宗派は何かな？
2:00 | JUNICHI DISCO: サムネがすでに罠
2:03 | (New member) へんでしかない。ただのひとでなしだ: 毎度思うけどこの勝負条件あまりにもコトカちゃん有利なの理不尽だなあってｗ
2:05 | もろみ: 嵐の前の静けさってね
2:10 | かぼす: #生き延びろ社
2:10 | (Member (2 months)) Y: :_cheftoka::_cheftoka::_cheftoka:
2:11 | Sao: (っ ॑꒳ ॑c)ﾜｸﾜｸ
2:12 | (Member (2 months)) STARLESS2 ⚡️🍡: :_sforsus::_tforkotoka::_aforkotoka::_rforidklol::_tforkotoka::_oforkotoka::_cheer:
2:13 | イット: まずサムネ
2:13 | あかあか: マヨネーズやめて
2:15 | ルゥ・ディクラス: な…なんとかなるのか！？
2:15 | land200j: これが嵐の前の静けさか…
2:15 | まる: やしきず、全ては君にかかっている
2:18 | すず: サムネで既に神回
2:18 | (Member (6 months)) Rozethorne: :_sforsus::_tforkotoka::_aforkotoka::_rforidklol::_tforkotoka::_oforkotoka::_cheer:
2:19 | (Member (2 months)) 飯寿司: :_heart::_heart::_heart:
2:19 | ny: ある意味社に対する期待が高くて草
2:21 | カナリコ: 賞味期限大丈夫かなぁ
2:21 | ジャック: 社さん突っ込み途絶えへんやろなぁ...
2:21 | あこ: 甜麺醤読めないよ…コトカちゃん…
2:22 | 長月美香: 中華鍋くるかな？
2:22 | カワテブクロ: 今回の犠牲者はやしきずかぁ.....
2:23 | 蒟蒻: 鍋料理じゃない……鍋料理じゃないんだぞ……
2:23 | 豆しとぎ: イライラクッキング再び？
2:24 | k.kerikil: yashiro GOD!
2:24 | テツP: 今回の生贄は社か
2:24 | この子に七色の祝福を: ざわ…ざわ…
2:26 | B町民: 裏では社長が楽しそうに喋ってるがこっちは・・・
2:26 | dame: 化学の時間です
2:27 | karapoko: #生きろ社
2:27 | キウイ: 嵐の前の静けさ､､､､
2:28 | エバアシガン: 味付けが壊滅的じゃなければとりあえず回鍋肉にはなる…はず…
2:28 | はうはう: 社生きろが日英共通認識なの草
2:29 | 野郎オブクラッシャー: IHのイかれた使い方で社気絶しそう
2:29 | ゲッコウ: ルールはもう一度読んだ！ご安全に！
2:30 | しゃわ: 始まっちまった
2:31 | ヨヨイノ: 眠れる虎……
2:31 | 雨日_huruhi: サムネからしてなぁ……
2:32 | 藤井まほ: 目標 無事生還
2:33 | おさむ-osamu-: サムネで笑える
2:33 | まる: とりあえずキッチンでやってね？
2:36 | 〜本物〜Mike: ドリルで肉を回すなよ
2:37 | (Member (2 months)) 飯寿司: たのしみ
2:37 | Ichi: 回鍋肉のこと鍋だと思ってるの草
2:37 | 器用貧乏の貧乏寄りの人: サムネを見たけど既にカオス確定な気がする。
2:39 | い〜じす: 普通にやしきずの作った回鍋肉をまずみたい
2:40 | オオサンショウウオ: もう怖い
2:41 | 森鴎外: サムネ的に肉用意されても豚肉じゃなくて鶏肉の可能性
2:41 | k I: 社生きて・・・
2:42 | ミル: くるぞ
2:42 | yy: もうおもろい
2:45 | 花園chan: やしきず大丈夫かな…
2:45 | 手島つかさ: 消費期限は大丈夫かな？
2:45 | ハル。: 社さん頑張れw
2:45 | りゅう: あれ、ホイコーローだよね？w
2:46 | キスケ: 恩人をノックアウトのコーナー
2:47 | Lightning o‐zyan: 準備はいいか？覚悟は良いか？俺は出来てる
2:52 | チロル: ((((；゜Д゜)))
2:52 | (Member (2 months)) スリムシェイプ。。: :_heart::_heart:
2:53 | ハチ公閣下: でび様とコラボしないかな？
2:54 | (Member (6 months)) わーたん: ぎゃこつ～
2:54 | まる: 工具のインパクトとか出てきそう
2:54 | らすてぃ: 社ってヤバい女に絡まれるの得意だよな
2:55 | ひ: やしきず胃痛案件
2:56 | やなゆはわ: #社生きろ
2:56 | yanmar: なにができるかな
2:56 | さいはて: #社生きろ
2:56 | わっしー: ずっと寝ててくれ
2:57 | オオサンショウウオ: 畳だとアル中カラカラ思い出すんだよな
2:58 | 雨粒: 社…お前が居て幸せだったぜ
2:59 | さた: 鍋って漢字入ってるからって鍋使いそう
2:59 | poyo: ご安全にー
3:01 | bk: 回鍋肉と聞いて何を買ってくるかなこの子は…
3:01 | 碧: 社とりあえず深呼吸しよう
3:01 | あふなめ: カレーじゃなくてよかったなって
3:02 | 東京ねこねこサッカー部: 最後の抵抗中か
3:04 | Satsuki: やしきず...骨は拾うからな...
3:04 | ハマチ: ドリル肉の字面すごいな
3:04 | (Member (6 months)) kitsune きつねまいにち: ほいこーろー:_cheer::_cheer:
3:07 | 冷血動物マシーンデブ殺し: おみまいするぞ！
3:07 | godflower: #社生きろ
3:08 | Furies Cheng: #SaveYashiro
3:09 | km: 鍋をデッキに入れて回すんやで
3:10 | Malcu: You got this Yashiro-san!
3:13 | 熊工廠: やしきず今までありがとう
3:14 | 雨日_huruhi: ことちゃん……回鍋肉は鍋やないで
3:15 | ハル。: 回鍋肉＝鍋w
3:17 | 倫敦輪舞曲: やしきず・・・お前は良いやつだったよ・・・
3:17 | Yuu Nisinomiya: 楽しみ
3:20 | アーク: だからサムネが鍋だったのか・・・
3:20 | えとけん先生: フライパン買ったかなぁ
3:20 | (New member) 竈門しまじろう: 社さん！落ち着いてください！
3:22 | hitagi h: 週頭に楽しい配信助かる
3:22 | (New member) さやや: サムネのイメージで用意してるなら鶏肉買ってるでしょ
3:24 | メルト: 回鍋肉…肉あるかな…？
3:24 | ぽんぷ: ここから始まる鍋料理生活
3:24 | 木林森: #社生きろ
3:25 | オーレリア・ウェルギウス: 社築・・・レヴォリューションしてたくれ・・・
3:25 | 秋人: まず鶏肉と白菜が出てくる
3:25 | mia: gambaa
3:26 | Turnip🌿ඞ: save yashiro
3:27 | Fumi: やしきず…惜しい人を亡くした……
3:27 | てるる: いっぱい回さないとな
3:28 | エバアシガン: コトカちゃんスパイスは山ほど持ってたからきっと、うまくいく…はず…だよね…？
3:29 | すめらぎみかど: 肉に火が通ればとりあえず生きれる…はず。
3:29 | 甘栗天津【あまぐりてんしん】: 甜麺醤無くても普通の味噌でなんとかなるとか思ってそう
3:31 | Pen銀: 鍋回しデッキ...？
3:33 | はつね: Be careful
3:33 | ももももも: 肉があれば回せるから…？
3:34 | (Member (6 months)) kurayami: :_cheer:
3:35 | てん: まず回鍋肉を鍋と思っていないかからのチェックが必要だ
3:35 | k I: 社の血圧がマッハ
3:35 | (Member (6 months)) DoJ: 社様ごめんなさい
3:35 | ワチひろみ: いうて料理なんてレシピ通り作ればいけるやろ・・
3:36 | Lightning o‐zyan: そんな食材で大丈夫なのか？　大丈夫だ問題
3:37 | (Member (1 month)) 佐倉あみ: RIP やしろ…
3:37 | Reika: 火だけは通してくれな……
3:38 | こうちゃまる: 最高のショーが見れると聞いて
3:39 | トンかつ: やしきずに胃薬を…
3:40 | つ。: 中華“鍋”で作るなら鍋は間違ってない…
3:40 | NNチキン: まーた社がやばい女に絡まれてるｗ
3:40 | 蒟蒻: 豚肉にちゃんと火を通せばなんとか
3:42 | lawliet: IKZ
3:42 | 今川: 始まったばっかりですよね？
3:44 | すずな: 頑張ってください
3:45 | ここまるﾃｧ: #社生きろ
3:47 | LANC / ランク: 回転鍋
3:48 | いなばっこ: 包丁は洗った？
3:49 | (Member (6 months)) yorios: :_bigeye:
3:49 | (Member (2 months)) 飯寿司: IHくんがんばって！
3:49 | まる 外山: I'm really looking forward to it
3:50 | Yuru c: やしきず…
3:50 | (Member (2 months)) レンフリー: やしきずの胃にダメージがいかないといいな・・・
3:51 | bk: 何鍋が出来上がるんだろうなぁ…
3:52 | mob: 待機画面可愛いねぇ
3:53 | べれしゅ: 有問題です
3:53 | Dee 🌸🌙: 🫡 
3:54 | わべ: 恐らく味噌も豆板醤も甜麺醤もないので詰みやね...
3:55 | メイメイ: やしきず、おかしいやつを亡くしたよ、
3:56 | おはぎ: 回鍋肉肉とは書いてあるけど何肉とは書いてないんだよね…
3:59 | かんちゃん: たのしみ
4:00 | アーク: まあ火は通るから・・・
4:02 | 藤井まほ: 肉すらない？？
4:02 | わっしー: 胃薬キメてるか
4:02 | 三日月: やしきず………
4:02 | 源光政: そもそも豚肉買って来てるのか問題
4:03 | みやび: まぁ社さん食べないし
4:03 | (Member (6 months)) kitsune きつねまいにち: 中華鍋あるからいける:_patpat:
4:04 | Maine: Hi, minna ~
4:05 | すまとら: ドリルで回転する鍋と肉が見れるかもしれない
4:05 | Petankosuki: 落ち着いて 社さん
4:05 | (New member) フヨウ: 今まで出てきた調味料は醤油とマジックソルトとなんかあったっけ？
4:05 | はつね: Let's GOOOOOOO
4:06 | えとけん先生: ケバブ出てきたら笑う
4:07 | yocto: 最初からクライマックス
4:07 | mia: o7 yashiro san
4:08 | 白九: やしきずの無事祈る
4:09 | Y I: おん
4:09 | ba mi: 新たな地獄が見れると聞いて
4:11 | Ookurikara: #SaveYashiro
4:12 | 梓: 血管切れそう
4:12 | スノウ: 遅れたと思ったら間に合ったのか！？
4:12 | りゅう: やしきず「回鍋肉ですじゃねえんだよ！！」
4:14 | Turnip🌿ඞ: #SaveYashiro
4:14 | hitagi h: やしきずはヤレル監督だから
4:14 | B町民: 調理場所は畳だろな
4:16 | ふぁーふぁ: やしきず首あらった？
4:17 | 朝雾: #saveやしろ
4:17 | あこ: みんな社くんの胃を心配しています
4:19 | NA NA: ※サムネの情報では本人は今日作るものがPOTDish（鍋料理）だと思っています
4:19 | しおん: やしきず頑張れ
4:20 | bk: 鉄鍋育てるところから始めたりしないかな…
4:20 | (New member) 竈門しまじろう: 回鍋肉は実は何の肉でもルーツ的にはセーフ
4:20 | ソーマ: 土鍋を使うか使わないかそれで成否か分かれる
4:21 | Yumil[ユミル]: まず台所準備させそう
4:21 | アリス☆: 肉があれば……
4:21 | Yuru c: やしきず…生きてくれ…
4:21 | てるる: まあ、具材が勝敗を分ける
4:21 | 手島つかさ: ある意味で闇鍋
4:22 | k ka: #社死ぬな
4:22 | ナタ: 材料切りそろえて焼いて調味料合わせるだけやろ簡単簡単……だよな
4:22 | babicas: 野菜と肉に火が通たら味付けしなくても食える
4:22 | たすこ: 回鍋肉作るのにサムネが普通の鍋なの草
4:23 | お湯とお冷: すでに怒られてる説
4:23 | らぢおへっど: 頭いいからこそ馬鹿なことも出来るとはにじ甲育成配信中のやしきずの談。
4:23 | 三日月: そもそも醤の存在を知っているかどうか…
4:25 | Jumana: Good luck Yashiro-san
4:25 | れるるむ: なんでドキドキするんだ
4:25 | きたなくねぇ花火: やしきず気絶してないか？
4:25 | はすの: 今白菜うまい季節だしなぁ
4:25 | せんとう: やしきず今までありがとう
4:26 | WSDR-1: アーメンやしろ
4:27 | 横唐横尾: やしきず、どう攻める？
4:28 | い〜じす: 恩のある監督に何を見せるのか:red_question_mark:
4:29 | がっちゃ: 調理器具の問題、デカすぎんだ！
4:29 | CinnaMoonDork: hi koto! 
4:29 | ハチ公閣下: 器具あっても洗わないから…
4:30 | (New member) ふちありおかめ: 危ないのは肉だけだし大丈夫やろ…
4:32 | ノリ: そもそも回鍋肉って何か知ってるんだよね？
4:33 | せか: この勝負、社の勝ちだ
4:33 | 島左近: 中華鍋でするのか……怖いな
4:35 | ジジ猫: 回鍋肉（鍋）
4:35 | 蒟蒻: 最悪回鍋しなかったとしても肉野菜炒めになればまだ（肉野菜炒めが作れるとは言ってない
4:37 | サカナ: やしきず ここに眠る
4:38 | minion art: どんな材料が出てくるかしら
4:40 | 布巾: 野菜炒めでもいい
4:41 | Yuki: やしきず、まだ生きてる？
4:42 | barance: うおおおおおお！がんばれえええええええ！
4:42 | 兎餅: やしきず…胃が……
4:43 | 小林壯太朗: この社畜は特殊な訓練を受けています
4:44 | Blue: 社、回鍋肉食わなくても胃薬は要るぞ
4:47 | ねここねこ: 「なーんてね！」ってお茶目()をやってキレられそう。
4:48 | 【WD】 8man: why am I feel like I should ship these two lmao
4:48 | あおさぎ: 期限きれてなきゃスパイスはあった気がするけれど……甜麺醤はないな…多分…
4:49 | (Member (2 months)) ima rafan 🧚🍂: :fire::_cheftoka:
4:50 | 健全な一視聴者: 酒コアラとどっちの料理ショーみたいなんやってくんねぇかな
4:52 | 成瀬結弦: 先生これって…
4:52 | Lightning o‐zyan: せめて横に居てくれ
4:53 | しげわら: 回鍋肉ができるまで何度でもリトライだ
4:54 | あふなめ: コメ欄バカおもろい
4:54 | ワチひろみ: まさか安全契約書でも書いてるのか‥？
4:55 | ba mi: 下手したら正月動けなくなるから気をつけてな
4:57 | エバアシガン: IH肉直焼きとかじゃなければ発狂は避けられるはず…
4:57 | バク: yashiro kantoku…
4:58 | (New member) さやや: ここがやしきずの墓場となるのか
5:00 | ミル: 監督！回鍋肉が！
5:00 | ゲッコウ: いや、なんも知らんと思うよ＞概要欄読んでみて
5:01 | 北陸帝王: これでまた寝坊とかしてるとマジ伝説やで
5:03 | ナタ: え……甜麺醤がない……？
5:05 | to sa: 配信前に死んでるの草
5:06 | (Member (2 months)) Kaya: コトカ、配信始められるか？
5:06 | (Member (1 month)) ソラ: マキシマムぶちこめばどうにかなるんじゃね？()
5:07 | ウルといっしょ: やしきずがいると聞いて
5:07 | こちぺけ2: やしきずの胃は大丈夫なのか
5:08 | 源昨夜: やしきずが作れば問題ないのでは？（名推理
5:10 | ボンｰBon-: CookDo先生に任せれば1発
5:10 | babicas: 寄せ鍋やる確率80％回鍋肉みたいな炒める系20％と予想
5:12 | Denise Yang: 回鍋肉をpot dishに訳すｗｗｗｗ
5:13 | えとけん先生: 消化器の用意は大丈夫か？
5:14 | K: やしきずの胃に穴が開かないことを願う
5:15 | 七志野五平: 食え！社ぉ！出来上がったものを責任持って食え！
5:16 | アーク: 炒め物をどうやって失敗するのか
5:17 | まる: やしろ、まずキッチンで調理させろ
5:17 | よわぴー: 回鍋肉…
5:18 | 碧: 肉はちゃんと焼いてね！！
5:19 | カンダリーニ: すでにキレてそう
5:20 | ゆっくりたくや: 誓約書でも書いてるんかな？
5:20 | おぼう: #社生きろ
5:21 | ナタ: ま、まぁ味噌で代用すればなんとか……
5:21 | 鳶坂: 裏でもう教育が？
5:23 | (New member) 野良イタチ: 年末年始のにじさんじ専属コックさんと聞いて
5:23 | 倫敦輪舞曲: まぁ回鍋肉なら、最悪味噌かけて肉とキャベツに熱加えれば問題ないか・・・？
5:23 | Eugene: Yashiro R.I.P
5:23 | 91 F: ついに社と戦うのか…
5:24 | !!!???: ちゃんと下剤持ってんだろうな
5:24 | なすな: やしきず生きろ〜
5:25 | 絶対無敵: サムネは鍋だけど肉野菜炒めやんけ！
5:26 | godflower: もう、ダメなのか？
5:26 | 味付けタマゴ: 果たして回鍋肉はできるのか
5:27 | (Member (2 months)) 芋猫: 前回使った調理道具洗ってるんだろうな....
5:28 | あこ: やばい女の子と絡むと一際輝く男、やしろ
5:28 | Lightning o‐zyan: こんな始まらん？ｗｗｗ
