-0:13 | (Member (2 months)) シキマリ: :_AlbanIKZ::_AlbanIKZ::_AlbanIKZ:
0:10 | Nekonya: Try your best:thumbs_up:
0:10 | (New member) Onion: So nervous, I don’t know why :_AlbanWhat:
0:11 | (New member) Dan Yu: :_AlbanNya::_AlbanNya::_AlbanNya:
0:11 | 百瀬真姫: 楽しみ〜！
0:12 | まい。: IKZ！
0:12 | (New member) Annaᐛ: :_AlbanNya::_AlbanNya::_AlbanNya:
0:12 | せつこ: もうはじまる！？！？たいき！！
0:13 | 涼羅木あげは(ageha): みんな生きて還ろうな……
0:13 | (New member) YUNA chan: Heart rate is rising 
0:14 | (Member (2 months)) Kiwa chan: :_AlbanWhat::_AlbanWhat::_AlbanWhat::_AlbanWhat::_AlbanWhat:
0:14 | 汪(੭ु`;ω;´)੭ु: wakuwaku :orange_heart::orange_heart::orange_heart:
0:14 | d3stinyyz: AAAAA HELLOO
0:15 | 岩本公美子: ikzzzz!!
0:15 | (New member) ぢゃン（ぢゃぢゃ）: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
0:16 | (Member (2 months)) 東-あずま: わーお
0:16 | shu nyanmino: HIIIIIII
0:16 | (New member) ほのさん: こんばん:_AlbanNya::double_exclamation_mark::double_exclamation_mark:
0:16 | Pink.ghosting: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
0:16 | Naochan: :orange_heart::orange_heart::orange_heart:
0:17 | (New member) Piyomoぴよも: □□□
0:17 | Avea: IT’S STARTINGGG
0:17 | (Member (1 month)) Corn 2.0 🌽: HOSDHKLSHDS
0:17 | みみちゃん。: haaa
0:18 | (Member (2 months)) Sweet Almond: :_AlbanIKZ::_AlbanIKZ::_AlbanIKZ:
0:18 | nicole yu : Let's gooooooo
0:18 | (Member (1 month)) chinghoon靖勳🎭🔗: OMG
0:18 | SHARKBAIT : :place_of_worship::place_of_worship::place_of_worship:
0:19 | (New member) しょこらんぬSyoko-rannu: □□□
0:19 | 美晴: アルバーン！！！
0:19 | (New member) Mayumi: :_AlbanIKZ::_AlbanIKZ::_AlbanIKZ:
0:19 | (Member (2 months)) freckle: hiii
0:19 | ciel phantomehive: awwww albannn
0:19 | (Member (1 month)) Corn 2.0 🌽: HE'S HERE
0:19 | hina: :orange_heart::orange_heart::orange_heart::orange_heart:
0:20 | (Member (1 month)) 💎 Lezu [Alban'sDiamond]: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
0:20 | ゆゆ: あっ…
0:20 | (Member (1 month)) Sketch Book: □□□
0:20 | (Member (1 month)) FINA@0307🐈‍⬛: トキトキ:orange_heart:わくわく:orange_heart:
0:20 | (Member (1 month)) chinghoon靖勳🎭🔗: IKZZZZ
0:20 | (Member (2 months)) mono drama: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
0:20 | (New member) Yumi Yumi: :_AlbanHype::_AlbanHype::_AlbanHype:
0:20 | (Member (2 months)) えいりちゃんEiri-chan: 動悸やばい
0:20 | (New member) Jaykuss: Who turn the light 
0:20 | (Member (2 months)) アイス: omgggg letss gooo
0:21 | (New member) Cuddle: hi
0:21 | (Member (1 month)) もえらき: きた！！！
0:21 | (New member) ちゃるちゃるマン: :_AlbanIKZ::_AlbanIKZ::_AlbanIKZ:
0:22 | (Member (1 month)) goose: hellooo
0:22 | (New member) inari: :_AlbanIKZ::_AlbanIKZ::_AlbanIKZ:
0:22 | (Member (1 month)) 桜井(Sakurai): Hi Alban□
0:22 | Kit Kat: ALBAN HELLOOOOOO AAAAAAAAAAA
0:22 | Uzuen: :orange_heart:
0:22 | (Member (1 month)) mugio[むぎお]: こんばんは！
0:22 | 岩本公美子: アルバーン!こんばんは!
0:22 | 灰塵huī chén: hiiiiii
0:22 | ghostworld: OH MY GOD ALBAN U SCARED ME
0:22 | (New member) MMMango: hiiii
0:22 | (Member (2 months)) Teresa: omggggggggg
0:23 | (New member) lifeon: □□□
0:23 | (Member (2 months)) みんとっと: ひい
0:23 | (Member (1 month)) 油花: Hiiii Alban!!!!!!!!!!!
0:23 | (New member) カズラ: こんばんは
0:23 | 🧡Kurikonya🧡: HI~~~ALBAN
0:24 | Mallow0623: HELLOOOOOO
0:24 | (New member) ゆん: ああああ
0:24 | (New member) nao: わーー
0:24 | (New member) fafa: HIIIIIII
0:24 | (New member) Jaykuss: Off
0:24 | (Member (1 month)) ALISA🥀🌙: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
0:24 | V: HELLO ALBAN
0:25 | 𝗬𝗜𝗡! ☆: HIII ALBAN
0:25 | 海雲(みくも)れむ: ひっ
0:25 | d3stinyyz: HELLOO ALBAN
0:25 | mira: hi tenchou!
0:25 | のり塩: hi!
0:26 | (Member (2 months)) まほこ: Hi！
0:26 | (Member (1 month)) chinghoon靖勳🎭🔗: why is it so dark :grinning_cat:
0:26 | Joku: OMG OMG OMG OMG
0:26 | (Member (2 months)) えいりちゃんEiri-chan: Hi
0:26 | (Member (2 months)) Kagami: □□□
0:26 | (Member (2 months)) みおさん: hiiiii
0:26 | Seraph: ewwoooo
0:26 | (Member (1 month)) あさひ: 今日はイヤホンして聴きます！
0:26 | _ことね_: Hello!!!
0:27 | Cirticus Sycamore: hello tenchou!
0:27 | (Member (1 month)) Mefan__米飯: Omgggg
0:27 | (New member) あむ。amu: Hi Alban
0:27 | Jad Jam: hi alban!
0:28 | (Member (2 months)) もみじ: hiiii tenchou
0:28 | (Member (2 months)) 🎭 Hirai Aki 🕒: aaaaa
0:29 | kristel 🐮: hi~
0:29 | Aries: Hi
0:29 | Rena: HELLO ALBAN
0:29 | (Member (1 month)) kanae: もう耳おわた
0:30 | (Member (1 month)) Himawari🌻ニャ!!: hi
0:30 | (Member (1 month)) Mefan__米飯: Hello
0:30 | ホタル Hotaru: hiiii alban!!!
0:30 | ruyi liu: aaaaaa
0:30 | (Member (2 months)) Nana.___.‪: Hiii Alban!!
0:30 | (Member (2 months)) EG🐋: □□□
0:31 | ぱとしあ: Hello
0:31 | (Member (2 months)) Mini ⭐️: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
0:31 | (New member) Ananan: Hi Alban :orange_heart:
0:31 | Alejandrina Castillejo: OMG
0:31 | (Member (1 month)) FINA@0307🐈‍⬛: トキトキ:orange_heart:わくわく:orange_heart:
0:31 | Lin xmmm: HELLLLLLLLLOOOOOOOOOO
0:31 | (New member) nao: omg
0:32 | (Member (1 month)) もえらき: だめ好き
0:32 | (Member (2 months)) えいりちゃんEiri-chan: NOOOOOOOOO
0:32 | Avea: IKZZZZZZZZZ
0:32 | doris: Hiiiiiiii
0:32 | (Member (1 month)) ALISA🥀🌙: Hello
0:32 | 岩本公美子: きゃああああああｑ
0:32 | Cheery🐥: Hello!
0:32 | (Member (1 month)) スモアくん: 暗い！？
0:33 | (Member (1 month)) ちーちゃん: あーーー！！:loudly_crying_face::orange_heart::orange_heart::orange_heart:
0:33 | (Member (1 month)) betty b: hiiiiii
0:34 | cheese: o
0:34 | (New member) しょこらんぬSyoko-rannu: 序盤からやばい！！！！！！
0:34 | (Member (2 months)) Ace 【FulltimeTakaradachi】: oh God it's starting-
0:34 | (New member) YUNA chan: Hello……………………
0:34 | Ru Natsume: hello
0:35 | (Member (2 months)) gyuutanぎゅうたん!: OMG
0:35 | SHARKBAIT : Hi alban!!
0:35 | (Member (1 month)) wei: HI ALBAN~~
0:35 | Sleepyfairy: TSKR
0:35 | (New member) KAKI🐿🌿: hello albannn
0:36 | (Member (2 months)) Kailess: oh god
0:36 | (Member (1 month)) 秦沅Lillian: Hi Alban!:_AlbanIKZ:
0:36 | Salfa: HI ALBANN
0:36 | (Member (1 month)) Corn 2.0 🌽: AAAAAAAA
0:36 | bruh: Albannnn!!!!!
0:36 | Joku: AAAAA
0:36 | (New member) Jaykuss: Hi
0:37 | (Member (2 months)) みうた【Miuta】: OMGGGGGGG
0:37 | (Member (2 months)) Hunguang: Hiiiiiii
0:37 | ciel phantomehive: awwww
0:37 | (New member) 千雨🧡🐱ちさめchan: □□□□□□□□
0:37 | (Member (2 months)) rua_xx_r: :_AlbanIKZ::_AlbanIKZ::_AlbanIKZ:
0:37 | Nyamo Nyan: hello!
0:37 | (Member (2 months)) 麻久【asahisa】: □□□
0:37 | (New member) ぢゃン（ぢゃぢゃ）: hi
0:37 | (Member (2 months)) mono drama: HIII ALBAN□□□
0:37 | (Member (2 months)) Teresa: omg is so sudden..
0:38 | (Member (1 month)) すい: !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
0:38 | (Member (2 months)) アイス: eheello albann
0:38 | ruyi liu: kyaaaaa
0:38 | (Member (2 months)) かげの_Kageno_—3—: :_AlbanWow::_AlbanWow::_AlbanWow:
0:38 | kxzuha _: HIIIII ALBAN
0:38 | Avea: ALBAN GOOD LUCK!!
0:38 | (New member) あじょらいや: あーーーー！！！
0:38 | (Member (2 months)) さき: 待って待っめ
0:38 | (New member) Onion: Let’s go~~
0:39 | (Member (2 months)) 夜雪 ye xue: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
0:39 | (Member (1 month)) あさひ: :_AlbanIKZ::_AlbanIKZ::_AlbanIKZ:
0:39 | (Member (1 month)) イロハ: hello！□□□
0:39 | (Member (2 months)) LiA🎀: Hi
0:39 | きいちご: Hi!
0:39 | (Member (2 months)) ItsMichi : :_AlbanIKZ:
0:39 | (Member (1 month)) aiyaaim: Hiiiii
0:39 | (Member (1 month)) Valice Choco ( ͡°³ ͡°): helloooooooooooooo
0:39 | (Member (1 month)) Cornellie | コーネリ: LETSGOOOOOOO
0:39 | 思雨[シウ]: hi alban!
0:40 | (Member (1 month)) MASUMI: はい！
0:40 | またたび: IKZZZZZ
0:40 | black egg: hiiiii
0:40 | ホタル Hotaru: awwwwww
0:40 | (Member (1 month)) CLeo（クレオ）: Hi!楽しみにしてた！
0:40 | (Member (2 months)) zero-零: hiiii
0:40 | (Member (1 month)) Maliciousli 🧸: HELLO ALBANNN
0:40 | TING NA: hiiiii
0:40 | Snow_羊兒: IKZZZZ
0:40 | (New member) あかり-Akari: アルバーンこんばんは:orange_heart:
0:40 | (New member) しょこらんぬSyoko-rannu: □□□
0:41 | rei: こんばんわｱﾙﾊﾞﾝ！
0:41 | (New member) inari: Hi!
0:41 | (Member (1 month)) chinghoon靖勳🎭🔗: who turned off the light lmao
0:41 | (New member) ほのさん: :_AlbanCry:□□□□□□□
0:41 | (Member (2 months)) CristalFlower: hiiiiii
0:41 | (New member) ᴋᴇɪ: Hello!!!!!!
0:41 | (Member (2 months)) blue cherry: OH GOD HERE WE GO
0:41 | (Member (2 months)) さき: え
0:41 | (New member) まはる: □□□
0:41 | azusa: こんばんは！
0:41 | (Member (2 months)) coco: omg
0:41 | (New member) Cuddle: hello alban
0:42 | Sheng Ting luo: hi:waving_hand:
0:42 | (Member (1 month)) mugio[むぎお]: wowowowo
0:42 | (Member (2 months)) Mitchie Soren: hi, tenchou!!
0:42 | Jinxie: konbanwaaaa
0:42 | (New member) -ririmaru-: こんばんあｈ！！
0:42 | Axel: hello alban!!
0:43 | (New member) _ ikanaya: :_AlbanIKZ::_AlbanIKZ::_AlbanIKZ::_AlbanIKZ::_AlbanIKZ::_AlbanIKZ:
0:43 | isui: Hi
0:43 | (Member (2 months)) 東-あずま: Hi Alban!
0:43 | aloeveraeater: hiii
0:43 | bruh: Hellloooo
0:43 | 虛凌XuLing: Hi
0:43 | (New member) Fluffy YaEn🐰: □□□
0:43 | Kailiko: HI ALBAN AAAA
0:43 | (Member (2 months)) Nana.___.‪: □□□
0:44 | d3stinyyz: TSKRRJKSDK;FJKLDFJLSDFJK
0:44 | (New member) 貓毛maoo máo: so dark lol
0:44 | ぴ: HI alban ~~
0:44 | えりな🎭🦊: hello
0:44 | むあら: こんばんはー！！！
0:44 | cheese: HELOL
0:44 | Lotus: hiii!
0:44 | (Member (2 months)) coco: hiiiiiiii
0:44 | (Member (2 months)) めかぶちゃん: OMG
0:44 | (Member (2 months)) みんとっと: いきなり！？
0:44 | (Member (1 month)) Sketch Book: Hi
0:44 | (New member) 理萌りも: HI ALBAN!!!!!!□□□
0:45 | 岩本公美子: たすけてくださああああい
0:45 | V: TSKR
0:45 | (New member) miru: っだ
0:45 | (Member (2 months)) 🎭 Hirai Aki 🕒: hiiii
0:45 | (Member (2 months)) roji: HELLOOOO
0:45 | (Member (2 months)) ゆぱちゃん_Yupa-chan: こんばんはああああ
0:45 | (New member) あむ。amu: OMG
0:45 | (New member) arisu <3's you ! : OMYGOD HELLO
0:45 | h7310: omg
0:46 | 涼羅木あげは(ageha): oh......
0:46 | Kit Kat: HELLLOOO ALBAN MY EARS ARE BLESSED
0:46 | (New member) Alceowww: :_AlbanIKZ::_AlbanIKZ::_AlbanIKZ:
0:46 | (Member (2 months)) ひるHiru: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
0:46 | (Member (2 months)) Mini ⭐️: ahhhhhhh hello
0:46 | (New member) nao: hi
0:46 | りん: Hi！
0:46 | (Member (2 months)) kollapsi: Hi Alban □□
0:46 | Uzuen: IKZZZZ
0:46 | (Member (2 months)) 夜雪 ye xue: hi alban
0:46 | (Member (1 month)) マトゥイディ: アルバーーン！！こんばんはーー！！！（小声）
0:46 | Cirticus Sycamore: my screen brightness is so low i could barely see alban LMAO
0:46 | (Member (2 months)) Ace 【FulltimeTakaradachi】: helloo
0:47 | ふゆたけ:  albannnnn
0:47 | ゆまち: こんばんはー
0:47 | h_honey: hiiiiiiiiii
0:47 | natcha: Hi hi alban
0:47 | SHARKBAIT : HIIIII
0:47 | (Member (1 month)) Arie アリ: omg....
0:47 | (New member) しかりゆ: □□□
0:47 | (Member (1 month)) Cornellie | コーネリ: I'm so excited:_AlbanWhat::_AlbanWhat:
0:47 | (Member (2 months)) rua_xx_r: おぉー！！！
0:47 | (New member) しょこらんぬSyoko-rannu: もう死んだ
0:47 | (Member (2 months)) Uni: :_AlbanSleep:
0:47 | 岳岳要抱抱: hello...
0:48 | (Member (1 month)) Corn 2.0 🌽: LMFAO
0:48 | (Member (1 month)) 【vivi】: OMG...
0:48 | (New member) QueenAlice: HI~
0:48 | (Member (1 month)) 💎 Lezu [Alban'sDiamond]: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
0:48 | (Member (2 months)) samin さみん: hi□
0:48 | 桃香: Hello！！こんばんは〜
0:48 | _ことね_: やばい
0:48 | (New member) 🎀 Lyrit 🎀: AH
0:48 | (New member) Winter Draconia: :_AlbanNya::_AlbanNya::_AlbanNya:
0:49 | (Member (2 months)) CristalFlower: ah
0:49 | (Member (2 months)) freckle: LMAO
0:49 | cheese: ドキドキ
0:49 | Riho: ナイスボイス:clapping_hands:
0:49 | (New member) 千雨🧡🐱ちさめchan: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
0:49 | (Member (2 months)) Lily(MarshmallowBunny)🐇: helllooo□□□
0:49 | (Member (2 months)) Mini ⭐️: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
0:50 | (Member (2 months)) Inze: AM I LATE
0:50 | (Member (1 month)) せな: 感謝墓掘ります
0:50 | Mitzi: Hellooo
0:50 | (Member (1 month)) Mochiii: hiiiii
0:50 | (Member (2 months)) Teresa: hiiiiiiii
0:50 | (Member (1 month)) goose: lol
0:50 | (New member) YZ: omg
0:51 | (Member (2 months)) もみじ: lmaooooo
0:51 | (Member (2 months)) おもちもちもち: □□□
0:51 | (Member (2 months)) bosatsu_chan: ｺﾝﾊﾞﾝﾊ!!!!!
0:51 | (Member (1 month)) Tea [ ティー ] : that was loud lmao
0:51 | (New member) -ririmaru-: 最高
0:52 | (New member) いぬぽぽん: hiiii
0:52 | (Member (2 months)) Nana.___.‪: LMAO
0:52 | (Member (2 months)) Kailess: LMAOOO
0:52 | PL Kazo: lmao he is nervous too, not only us :face_with_tears_of_joy: ikuzooooo
0:52 | (Member (2 months)) blue cherry: AAAAAA HI BABU
0:52 | Roro!!: HII
0:52 | (Member (2 months)) ゆぱちゃん_Yupa-chan: omg
0:52 | (Member (2 months)) おにっち-onicchi-: :_AlbanNya::_AlbanNya::_AlbanNya:
0:52 | 彰人くん推し: アルバーンくん！！！大好き！！
0:53 | (Member (2 months)) mono drama: OH GOD THE ALERT
0:53 | Mikoto_: oh......
0:53 | Avea: ALBAN YOU CAN DO THIS!!
0:53 | (New member) ちゃるちゃるマン: わ~□□□□
0:53 | セメントの森: ok, I'm dead
0:53 | (Member (2 months)) えいりちゃんEiri-chan: OMG
0:53 | (New member) Reppepmint: Alban Hii□□
0:53 | (Member (2 months)) Keru: LMAO
0:53 | (Member (2 months)) ItsMichi : □□
0:53 | (Member (1 month)) kanae: Albnnnnnnnnnn
0:53 | Conner Sauce: Hiiiii
0:53 | (New member) arisu <3's you ! : MEMEMRBRE
0:53 | (Member (1 month)) shan: hiiii alban□
0:53 | 美晴: ええええ
0:53 | (New member) にゃんにゃんこ: □□□
0:53 | YoYoMan: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
0:53 | みご: メンバーありｗｗｗｗｗｗｗｗｗｗｗｗｗ
0:53 | ちくわ: OMG
0:53 | cheese: lol
0:53 | (Member (2 months)) vene: □□□
0:53 | (New member) Minnie: Lmao
0:53 | (Member (1 month)) chinghoon靖勳🎭🔗: OMG HAHAHAHA
0:54 | (Member (2 months)) Naga: looooool
0:54 | Tabby: LMAO
0:54 | Mallow0623: OOP LMAO
0:54 | K.T: hello alban
0:54 | (Member (2 months)) coco: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
0:54 | (Member (2 months)) かげの_Kageno_—3—: lmaoooo
0:54 | 岩本公美子: メンバーありでかいｗ
0:54 | (New member) -ririmaru-: www
0:54 | SHARKBAIT : :orange_heart::orange_heart::orange_heart:
0:55 | Aurora💫: omg so cuteeeeeeeee!!!:orange_heart::orange_heart::orange_heart:
0:55 | (New member) YZ: □□□
0:55 | hayase: Hello !! Alban !
0:55 | Tiana: HIII ALBAN <3
0:55 | Kit Kat: OH THE ALERTS ITS LOUD LOL
0:55 | (Member (2 months)) Teresa: lmaooooooo
0:55 | d3stinyyz: LOL
0:55 | しの: こんばんは！たのしみにしてた！
0:56 | (Member (2 months)) 🎭 Hirai Aki 🕒: lol
0:56 | ふゆたけ: LMAO MEMBA ARI
0:56 | (Member (2 months)) Sylvia Green: Hi, Tenchou
0:56 | (-fandomartss-): HI ALBAAAAN
0:56 | (Member (1 month)) Valice Choco ( ͡°³ ͡°): i cant hear youuuu
0:56 | はるいHarui: ah
0:56 | (Member (2 months)) Limi: lmaooooo
0:57 | (Member (2 months)) さき: OMG
0:57 | eDog Gok: Hello Alban:orange_heart::orange_heart::orange_heart:
0:57 | (Member (1 month)) Yasmeen: :_AlbanIKZ::_AlbanIKZ:
0:57 | (New member) SANBI: lmaoooooo
0:57 | (Member (2 months)) Lapis: hi alban!!
0:57 | meaw 3050: hellooo :orange_heart::orange_heart::orange_heart::orange_heart:
0:57 | (Member (2 months)) みんとっと: OMG
0:57 | Naochan: LMAOOOOOO
0:57 | (Member (1 month)) Piyawan: OMGGGG
0:58 | 凛: しんじゃうよぉ
0:58 | (New member) Bunny Brisko: □□□
0:58 | (New member) Yumi Yumi: □□□
0:58 | (Member (1 month)) Maliciousli 🧸: LMAO
0:58 | (Member (2 months)) Teresa: the sound
0:58 | (New member) li yu: □□□
0:58 | (Member (1 month)) Corn 2.0 🌽: HE FORGOR
0:58 | someone_else: helllooooooooo
0:58 | (Member (2 months)) roji: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
0:58 | YUN🌙: Hiii 
0:58 | ゆーと: え？現実？
0:58 | beam: hi albannn
0:59 | (Member (2 months)) ゆぱちゃん_Yupa-chan: 待って……
0:59 | 柚木Yuno: Hiiiiii
0:59 | maichi: hellooooo
0:59 | (Member (1 month)) Natsuki: こんばんは:_AlbanAwawa::_AlbanAwawa:
0:59 | (Member (2 months)) Patricia: OH MY GOD HELLO
0:59 | (New member) matchabonbonsoosoo: THE SUB SOUND LMAO
0:59 | (Member (1 month)) goose: he forgor
1:00 | いかもっち: こんばんは！
1:00 | (Member (1 month)) Dani: :_AlbanLaugh::_AlbanLaugh:
1:00 | (Member (1 month)) betty b: lmaoooo
1:00 | (New member) nao: やばい
1:00 | (Member (2 months)) アイス: my heart rateee ahhhhhh 
1:00 | (Member (2 months)) Lily(MarshmallowBunny)🐇: lol
1:00 | (Member (1 month)) マトゥイディ: lol
1:00 | みみちゃん。: はあ…こんばんは！
1:00 | (New member) _ ikanaya: hahahahaha
1:01 | (Member (2 months)) freckle: LMAO ALL GOOD
1:01 | (New member) arisu <3's you ! : i forgor
1:01 | (Member (1 month)) Corn 2.0 🌽: AHAHAHHAHA
1:01 | (Member (2 months)) ゆき: LMAO
1:01 | (New member) 佳妃貓 Jiafeimao: lmao
1:01 | (Member (2 months)) mono drama: he forgor
1:01 | (New member) かなちゃ: HiHiHiHi
1:01 | 涼羅木あげは(ageha): loooove
1:01 | (Member (2 months)) シキマリ: LOL
1:01 | 汪(੭ु`;ω;´)੭ु: LMAO
1:02 | Alejandrina Castillejo: I WAS LISTENING TO MUSIC WHILE WAITING FOR YOU THEN I HEARD A WISPER HIHIHIHI
1:02 | (Member (2 months)) Open Open: HI ~~~~HI:_AlbanHype:
